elapsed_ms,rss_mb_decimal,pss_mb_decimal,gpu_memory_mb_decimal,total_memory_mb_decimal,cgroup_memory_mb_decimal
317205.594814,1513.725952,1508.396032,0.0,1513.725952,31324.069888
317300.908425,1513.725952,1508.396032,0.0,1513.725952,31323.889664
317399.279367,1513.725952,1508.396032,0.0,1513.725952,31324.3648
317495.047087,1513.725952,1508.396032,0.0,1513.725952,31324.721152
317592.646247,1513.725952,1508.396032,0.0,1513.725952,31324.987392
317690.575696,1513.725952,1508.396032,0.0,1513.725952,31325.794304
317785.369917,1513.725952,1508.396032,0.0,1513.725952,31325.528064
317883.38244,1513.725952,1508.396032,0.0,1513.725952,31326.253056
317979.707554,1513.725952,1508.396032,0.0,1513.725952,31326.097408
318075.53769,1513.725952,1508.396032,0.0,1513.725952,31326.728192
318172.753713,1513.725952,1508.396032,0.0,1513.725952,31326.662656
318267.832071,1513.725952,1508.396032,0.0,1513.725952,31328.325632
318366.272837,1513.725952,1508.396032,0.0,1513.725952,31329.107968
318461.891774,1513.725952,1508.396032,0.0,1513.725952,31330.930688
318559.681246,1513.725952,1508.396032,0.0,1513.725952,31332.483072
318657.531915,1513.725952,1508.396032,0.0,1513.725952,31334.121472
318752.568973,1513.725952,1508.396032,0.0,1513.725952,31334.465536
318850.539607,1513.725952,1508.396032,0.0,1513.725952,31336.656896
318949.226812,1513.725952,1508.396032,0.0,1513.725952,31337.709568
319044.09167,1513.725952,1508.396032,0.0,1513.725952,31337.603072
319142.164982,1513.725952,1508.396032,0.0,1513.725952,31337.6768
319237.57153,1513.725952,1508.396032,0.0,1513.725952,31339.2128
319334.781442,1513.725952,1508.396032,0.0,1513.725952,31340.720128
319431.835445,1513.725952,1508.396032,0.0,1513.725952,31341.83424
319527.062912,1513.725952,1508.396032,0.0,1513.725952,31342.3872
319625.607529,1513.725952,1508.396032,0.0,1513.725952,31343.218688
319721.196741,1513.725952,1508.396032,0.0,1513.725952,31344.98816
319818.708092,1513.725952,1508.396032,0.0,1513.725952,31346.372608
319919.220546,1513.725952,1508.396032,0.0,1513.725952,31348.256768
320016.902324,1513.725952,1508.396032,0.0,1513.725952,31350.247424
320111.802293,1513.725952,1508.396032,0.0,1513.725952,31350.657024
320212.518767,1513.725952,1508.396032,0.0,1513.725952,31350.76352
320310.913805,1513.725952,1508.396032,0.0,1513.725952,31351.005184
320407.138618,1513.725952,1508.396032,0.0,1513.725952,31352.659968
320507.916053,1513.725952,1508.396032,0.0,1513.725952,31353.401344
320603.565526,1513.725952,1508.396032,0.0,1513.725952,31355.37152
320700.906082,1513.725952,1508.396032,0.0,1513.725952,31357.177856
320798.60115,1513.725952,1508.396032,0.0,1513.725952,31359.127552
320899.187814,1513.725952,1508.396032,0.0,1513.725952,31361.306624
320997.213492,1513.725952,1508.396032,0.0,1513.725952,31362.473984
321099.356734,1513.725952,1508.396032,0.0,1513.725952,31364.145152
321197.866855,1513.725952,1508.396032,0.0,1513.725952,31428.235264
321294.793813,1513.725952,1508.396032,0.0,1513.725952,31464.316928
321392.153354,1513.725952,1508.396032,0.0,1513.725952,31464.382464
321492.409197,1513.725952,1508.396032,0.0,1513.725952,31464.828928
321590.81295,1513.725952,1508.396032,0.0,1513.725952,31465.218048
321690.143714,1513.725952,1508.396032,0.0,1513.725952,31466.446848
321788.724093,1513.725952,1508.396032,0.0,1513.725952,31468.167168
321883.923956,1513.725952,1508.396032,0.0,1513.725952,31469.2608
321982.48135,1513.725952,1508.396032,0.0,1513.725952,31471.620096
322083.246468,1513.725952,1508.396032,0.0,1513.725952,31473.225728
322181.089678,1513.725952,1508.396032,0.0,1513.725952,31473.872896
322280.434388,1513.725952,1508.396032,0.0,1513.725952,31473.93024
322384.912604,1513.725952,1508.396032,0.0,1513.725952,31475.482624
322485.305182,1513.725952,1508.396032,0.0,1513.725952,31476.862976
322586.973597,1513.725952,1508.396032,0.0,1513.725952,31478.489088
322688.249296,1513.725952,1508.396032,0.0,1513.725952,31480.58624
322786.567699,1513.725952,1508.396032,0.0,1513.725952,31482.085376
322885.982696,1513.725952,1508.396032,0.0,1513.725952,31483.584512
322989.372062,1513.725952,1508.396032,0.0,1513.725952,31485.169664
323086.658261,1513.725952,1508.396032,0.0,1513.725952,31486.287872
323188.625123,1513.725952,1508.396032,0.0,1513.725952,31487.721472
323290.918852,1513.725952,1508.396032,0.0,1513.725952,31489.380352
323393.967283,1513.725952,1508.396032,0.0,1513.725952,31489.82272
323494.595943,1519.853568,1514.523648,0.0,1519.853568,31496.634368
323594.191356,1519.853568,1514.523648,0.0,1519.853568,31497.510912
323693.016204,1519.853568,1514.523648,0.0,1519.853568,31497.965568
323790.499483,1519.853568,1514.523648,0.0,1519.853568,31500.754944
323891.150776,1519.853568,1514.523648,0.0,1519.853568,31502.401536
323991.015464,1519.853568,1514.523648,0.0,1519.853568,31503.33952
324093.373323,1519.853568,1514.523648,0.0,1519.853568,31504.15872
324194.085476,1519.853568,1514.523648,0.0,1519.853568,31506.071552
324291.781131,1519.853568,1514.523648,0.0,1519.853568,31508.393984
324392.681408,1519.853568,1514.523648,0.0,1519.853568,31510.60992
324494.269088,1519.853568,1514.523648,0.0,1519.853568,31512.195072
324592.910317,1519.853568,1514.523648,0.0,1519.853568,31513.530368
324692.722607,1519.853568,1514.523648,0.0,1519.853568,31514.308608
324791.598782,1519.853568,1514.523648,0.0,1519.853568,31515.992064
324889.325465,1519.853568,1514.523648,0.0,1519.853568,31515.983872
324986.894873,1519.853568,1514.523648,0.0,1519.853568,31518.199808
325084.754825,1519.853568,1514.523648,0.0,1519.853568,31520.182272
325179.952628,1519.853568,1514.523648,0.0,1519.853568,31520.985088
325278.310199,1519.853568,1514.523648,0.0,1519.853568,31522.67264
325375.524723,1519.853568,1514.523648,0.0,1519.853568,31523.913728
325472.995682,1519.853568,1514.523648,0.0,1519.853568,31525.482496
325573.696701,1519.853568,1514.523648,0.0,1519.853568,31526.035456
325675.050456,1519.853568,1514.523648,0.0,1519.853568,31527.038976
325770.930473,1519.853568,1514.523648,0.0,1519.853568,31528.624128
325867.210454,1519.853568,1514.523648,0.0,1519.853568,31530.160128
325963.149403,1519.853568,1514.523648,0.0,1519.853568,31531.175936
326060.510948,1519.853568,1514.523648,0.0,1519.853568,31533.121536
326155.469831,1519.853568,1514.523648,0.0,1519.853568,31534.514176
326255.94159,1519.853568,1514.523648,0.0,1519.853568,31536.099328
326353.677803,1519.853568,1514.523648,0.0,1519.853568,31537.47968
326449.073296,1519.853568,1514.523648,0.0,1519.853568,31537.934336
326547.191256,1519.853568,1514.523648,0.0,1519.853568,31539.335168
326644.018053,1519.853568,1514.523648,0.0,1519.853568,31541.567488
326739.612333,1519.853568,1514.523648,0.0,1519.853568,31543.15264
326839.708676,1519.853568,1514.523648,0.0,1519.853568,31545.167872
326937.432212,1519.853568,1514.523648,0.0,1519.853568,31546.642432
327035.642436,1519.853568,1514.523648,0.0,1519.853568,31548.153856
327131.189397,1519.853568,1514.523648,0.0,1519.853568,31550.099456
327228.036138,1519.853568,1514.523648,0.0,1519.853568,31550.533632
327323.566531,1519.853568,1514.523648,0.0,1519.853568,31551.049728
327421.582162,1519.853568,1514.523648,0.0,1519.853568,31551.737856
327516.673721,1519.853568,1514.523648,0.0,1519.853568,31552.335872
327615.246392,1519.853568,1514.523648,0.0,1519.853568,31553.499136
327715.095632,1519.853568,1514.523648,0.0,1519.853568,31554.932736
327811.476697,1519.853568,1514.523648,0.0,1519.853568,31556.284416
