elapsed_ms,rss_mb_decimal,pss_mb_decimal,gpu_memory_mb_decimal,total_memory_mb_decimal,cgroup_memory_mb_decimal
332037.374587,1245.73696,1240.431616,0.0,1245.73696,42507.669504
332143.571551,1245.73696,1240.431616,0.0,1245.73696,42507.65312
332247.762505,1245.73696,1240.431616,0.0,1245.73696,42507.69408
332355.903352,1245.73696,1240.431616,0.0,1245.73696,42507.415552
332458.265505,1245.73696,1240.431616,0.0,1245.73696,42507.649024
332564.089782,1245.73696,1240.431616,0.0,1245.73696,42507.620352
332673.60702,1245.73696,1240.431616,0.0,1245.73696,42507.972608
332775.997752,1251.06176,1245.756416,0.0,1251.06176,42513.453056
332877.57534,1251.06176,1245.756416,0.0,1251.06176,42513.158144
332981.454931,1251.06176,1245.756416,0.0,1251.06176,42513.137664
333085.055036,1251.06176,1245.756416,0.0,1251.06176,42513.12128
333184.585117,1251.06176,1245.756416,0.0,1251.06176,42512.9984
333288.199844,1251.06176,1245.756416,0.0,1251.06176,42512.982016
333389.615394,1251.06176,1245.756416,0.0,1251.06176,42512.965632
333491.236126,1251.06176,1245.756416,0.0,1251.06176,42512.953344
333592.710728,1251.06176,1245.756416,0.0,1251.06176,42513.199104
333694.112142,1251.06176,1245.756416,0.0,1251.06176,42513.18272
333795.030872,1251.06176,1245.756416,0.0,1251.06176,42513.05984
333895.727464,1251.06176,1245.756416,0.0,1251.06176,42513.043456
333998.215587,1251.06176,1245.756416,0.0,1251.06176,42513.027072
334098.398362,1251.06176,1245.756416,0.0,1251.06176,42513.272832
334197.203527,1251.06176,1245.756416,0.0,1251.06176,42513.1008
334298.578349,1251.06176,1245.756416,0.0,1251.06176,42512.838656
334400.109828,1251.06176,1245.756416,0.0,1251.06176,42513.350656
334501.015133,1251.06176,1245.756416,0.0,1251.06176,42513.334272
334601.800965,1251.06176,1245.756416,0.0,1251.06176,42513.317888
334704.752302,1251.06176,1245.756416,0.0,1251.06176,42513.03936
334802.949556,1251.06176,1245.756416,0.0,1251.06176,42513.022976
334903.123032,1251.06176,1245.756416,0.0,1251.06176,42512.748544
335004.093663,1251.06176,1245.756416,0.0,1251.06176,42512.740352
335107.635229,1251.06176,1245.756416,0.0,1251.06176,42512.728064
335206.127109,1251.06176,1245.756416,0.0,1251.06176,42512.71168
335306.585871,1251.06176,1245.756416,0.0,1251.06176,42512.703488
335407.420748,1251.06176,1245.756416,0.0,1251.06176,42512.945152
335507.796993,1251.06176,1245.756416,0.0,1251.06176,42512.674816
335609.193656,1251.06176,1245.756416,0.0,1251.06176,42512.658432
335713.813406,1251.06176,1245.756416,0.0,1251.06176,42512.642048
335818.682214,1251.06176,1245.756416,0.0,1251.06176,42512.625664
335923.93902,1251.06176,1245.756416,0.0,1251.06176,42512.60928
336027.311308,1251.06176,1245.756416,0.0,1251.06176,42513.113088
336135.804378,1251.06176,1245.756416,0.0,1251.06176,42513.108992
336238.334509,1251.06176,1245.756416,0.0,1251.06176,42513.432576
336343.599234,1251.06176,1245.756416,0.0,1251.06176,42513.154048
336447.896552,1251.06176,1245.756416,0.0,1251.06176,42513.137664
336551.031671,1251.06176,1245.756416,0.0,1251.06176,42513.383424
336656.49925,1251.06176,1245.756416,0.0,1251.06176,42512.101376
336756.393254,1251.065856,1245.760512,0.0,1251.065856,42512.330752
336857.826374,1251.065856,1245.760512,0.0,1251.065856,42512.576512
336958.80954,1251.065856,1245.760512,0.0,1251.065856,42512.306176
337059.958558,1251.065856,1245.760512,0.0,1251.065856,42512.289792
337160.761758,1251.065856,1245.760512,0.0,1251.065856,42511.765504
337261.132099,1251.065856,1245.760512,0.0,1251.065856,42511.745024
337361.293766,1251.065856,1245.760512,0.0,1251.065856,42511.72864
337461.938946,1251.065856,1245.760512,0.0,1251.065856,42511.970304
337562.696639,1251.065856,1245.760512,0.0,1251.065856,42511.958016
337663.52447,1251.065856,1245.760512,0.0,1251.065856,42511.683584
337764.360867,1251.065856,1245.760512,0.0,1251.065856,42511.663104
337867.928892,1251.065856,1245.760512,0.0,1251.065856,42511.64672
337966.180384,1251.065856,1245.760512,0.0,1251.065856,42511.630336
338066.86568,1251.065856,1245.760512,0.0,1251.065856,42511.613952
338167.901862,1251.065856,1245.760512,0.0,1251.065856,42511.425536
338266.755379,1251.065856,1245.760512,0.0,1251.065856,42511.409152
338368.365626,1251.065856,1245.760512,0.0,1251.065856,42511.392768
338469.452189,1251.065856,1245.760512,0.0,1251.065856,42511.376384
338570.683932,1251.065856,1245.760512,0.0,1251.065856,42511.36
338674.093808,1251.065856,1245.760512,0.0,1251.065856,42511.855616
338772.672952,1251.065856,1245.760512,0.0,1251.065856,42511.581184
338874.962972,1251.065856,1245.760512,0.0,1251.065856,42511.527936
338973.654835,1251.065856,1245.760512,0.0,1251.065856,42511.511552
339074.804375,1251.065856,1245.760512,0.0,1251.065856,42511.757312
339176.065595,1251.065856,1245.760512,0.0,1251.065856,42511.478784
339277.617796,1251.065856,1245.760512,0.0,1251.065856,42511.01184
339376.457831,1251.065856,1245.760512,0.0,1251.065856,42510.741504
339486.062734,1251.065856,1245.760512,0.0,1251.065856,42510.721024
339591.515257,1251.065856,1245.760512,0.0,1251.065856,42510.450688
339697.908186,1251.065856,1245.760512,0.0,1251.065856,42510.19264
339806.564562,1251.065856,1245.760512,0.0,1251.065856,42509.910016
339908.949582,1251.065856,1245.760512,0.0,1251.065856,42509.893632
340018.5217,1251.065856,1245.759488,0.0,1251.065856,42509.877248
340124.737903,1251.065856,1245.760512,0.0,1251.065856,42510.123008
340229.386071,1251.065856,1245.760512,0.0,1251.065856,42510.368768
340334.856556,1251.065856,1245.760512,0.0,1251.065856,42510.352384
340463.464655,1251.065856,1245.760512,0.0,1251.065856,42510.843904
340563.326758,1255.112704,1249.80736,0.0,1255.112704,42515.546112
340665.879255,1255.112704,1249.80736,0.0,1255.112704,42515.529728
340767.845968,1255.112704,1249.80736,0.0,1255.112704,42515.51744
340869.10428,1255.112704,1249.80736,0.0,1255.112704,42515.501056
340970.235312,1255.112704,1249.80736,0.0,1255.112704,42515.484672
341073.137495,1255.112704,1249.80736,0.0,1255.112704,42515.468288
341171.862714,1255.112704,1249.80736,0.0,1255.112704,42515.456
341272.880656,1255.112704,1249.80736,0.0,1255.112704,42515.439616
341373.279479,1255.112704,1249.80736,0.0,1255.112704,42514.907136
341474.176727,1255.112704,1249.80736,0.0,1255.112704,42514.886656
341575.055942,1255.112704,1249.80736,0.0,1255.112704,42514.857984
341675.346016,1255.112704,1249.80736,0.0,1255.112704,42514.587648
341776.498005,1255.112704,1249.80736,0.0,1255.112704,42514.833408
341877.701644,1255.112704,1249.80736,0.0,1255.112704,42514.817024
341978.371201,1255.112704,1249.80736,0.0,1255.112704,42514.804736
342081.545536,1255.112704,1249.80736,0.0,1255.112704,42514.812928
342180.17478,1255.112704,1249.80736,0.0,1255.112704,42514.968576
342285.414891,1255.112704,1249.80736,0.0,1255.112704,42515.603456
342384.311594,1255.112704,1249.80736,0.0,1255.112704,42517.037056
342482.714746,1255.112704,1249.80736,0.0,1255.112704,42517.172224
342581.406983,1255.112704,1249.80736,0.0,1255.112704,42517.037056
342682.81347,1255.112704,1249.80736,0.0,1255.112704,42517.020672
342784.138467,1255.112704,1249.80736,0.0,1255.112704,42517.266432
342885.039862,1255.112704,1249.80736,0.0,1255.112704,42517.250048
342986.03583,1255.112704,1249.80736,0.0,1255.112704,42517.233664
343084.979826,1255.112704,1249.80736,0.0,1255.112704,42517.21728
343186.273031,1255.112704,1249.80736,0.0,1255.112704,42517.200896
343287.378076,1255.112704,1249.80736,0.0,1255.112704,42517.184512
343388.294345,1255.112704,1249.80736,0.0,1255.112704,42517.168128
343489.573224,1255.112704,1249.80736,0.0,1255.112704,42517.151744
343591.011667,1255.112704,1249.80736,0.0,1255.112704,42517.397504
343690.958924,1255.112704,1249.80736,0.0,1255.112704,42517.028864
343792.481876,1255.112704,1249.80736,0.0,1255.112704,42517.274624
343900.562336,1255.112704,1249.80736,0.0,1255.112704,42517.25824
344010.13311,1255.112704,1249.80736,0.0,1255.112704,42516.983808
344116.753828,1255.112704,1249.80736,0.0,1255.112704,42517.229568
344222.582966,1255.112704,1249.80736,0.0,1255.112704,42517.213184
344326.657175,1255.112704,1249.80736,0.0,1255.112704,42517.1968
344435.505772,1255.112704,1249.80736,0.0,1255.112704,42517.049344
344543.649158,1255.112704,1249.80736,0.0,1255.112704,42517.03296
344646.604226,1255.112704,1249.80736,0.0,1255.112704,42516.754432
344754.363906,1255.112704,1249.80736,0.0,1255.112704,42517.000192
344880.236016,1255.112704,1249.80736,0.0,1255.112704,42517.495808
344980.756085,1259.958272,1254.652928,0.0,1259.958272,42522.198016
345085.349102,1259.958272,1254.652928,0.0,1259.958272,42522.181632
345183.828409,1259.958272,1254.652928,0.0,1259.958272,42522.177536
345282.49895,1259.958272,1254.652928,0.0,1259.958272,42522.161152
345383.621318,1259.958272,1254.652928,0.0,1259.958272,42522.144768
345484.524181,1259.958272,1254.652928,0.0,1259.958272,42522.128384
345585.85728,1259.958272,1254.652928,0.0,1259.958272,42522.112
345686.820595,1259.958272,1254.652928,0.0,1259.958272,42521.849856
345788.289047,1259.958272,1254.652928,0.0,1259.958272,42522.095616
345889.061754,1259.958272,1254.652928,0.0,1259.958272,42522.079232
345989.686348,1259.958272,1254.652928,0.0,1259.958272,42522.07104
346090.274995,1259.958272,1254.652928,0.0,1259.958272,42522.054656
346191.149164,1259.958272,1254.652928,0.0,1259.958272,42522.300416
346291.91479,1259.958272,1254.652928,0.0,1259.958272,42522.284032
346392.677053,1259.958272,1254.652928,0.0,1259.958272,42522.0096
346493.854733,1259.958272,1254.652928,0.0,1259.958272,42521.98912
346594.366685,1259.958272,1254.652928,0.0,1259.958272,42521.972736
346695.337734,1259.958272,1254.652928,0.0,1259.958272,42521.952256
346796.796923,1259.958272,1254.652928,0.0,1259.958272,42522.198016
346895.574382,1259.958272,1254.652928,0.0,1259.958272,42521.919488
346998.807969,1259.958272,1254.652928,0.0,1259.958272,42521.903104
347097.579879,1259.958272,1254.652928,0.0,1259.958272,42521.624576
347198.482531,1259.958272,1254.652928,0.0,1259.958272,42521.608192
347299.569507,1259.958272,1254.652928,0.0,1259.958272,42521.587712
347401.874566,1259.958272,1254.652928,0.0,1259.958272,42521.571328
347500.737098,1259.958272,1254.652928,0.0,1259.958272,42521.550848
347601.392289,1259.958272,1254.652928,0.0,1259.958272,42522.472448
347701.849924,1259.958272,1254.652928,0.0,1259.958272,42522.456064
347803.647203,1259.958272,1254.652928,0.0,1259.958272,42522.70592
347902.983208,1259.958272,1254.652928,0.0,1259.958272,42522.689536
348004.288867,1259.958272,1254.652928,0.0,1259.958272,42522.415104
348105.430062,1259.958272,1254.652928,0.0,1259.958272,42522.914816
348206.339586,1259.958272,1254.652928,0.0,1259.958272,42523.140096
348307.667377,1259.958272,1254.652928,0.0,1259.958272,42523.119616
348409.032361,1259.958272,1254.652928,0.0,1259.958272,42523.103232
348512.682541,1259.958272,1254.652928,0.0,1259.958272,42523.070464
348616.07134,1259.958272,1254.652928,0.0,1259.958272,42522.537984
348724.256983,1259.958272,1254.652928,0.0,1259.958272,42522.517504
348826.541923,1259.958272,1254.652928,0.0,1259.958272,42522.763264
348931.91943,1259.958272,1254.652928,0.0,1259.958272,42522.484736
349039.724059,1259.958272,1254.652928,0.0,1259.958272,42522.468352
349144.828095,1259.958272,1254.652928,0.0,1259.958272,42522.451968
349250.807228,1259.958272,1254.652928,0.0,1259.958272,42522.697728
349356.828001,1259.958272,1254.652928,0.0,1259.958272,42522.681344
349460.173772,1259.958272,1254.652928,0.0,1259.958272,42522.927104
349564.315829,1265.057792,1259.752448,0.0,1265.057792,42528.657408
349670.716464,1265.057792,1259.752448,0.0,1265.057792,42528.444416
349769.454748,1265.057792,1259.752448,0.0,1265.057792,42528.428032
349868.874853,1265.057792,1259.752448,0.0,1265.057792,42528.673792
349969.704897,1265.057792,1259.752448,0.0,1265.057792,42528.403456
350072.57538,1265.057792,1259.752448,0.0,1265.057792,42528.387072
350171.489946,1265.057792,1259.752448,0.0,1265.057792,42528.374784
350272.799957,1265.057792,1259.752448,0.0,1265.057792,42528.3584
350371.858251,1265.057792,1259.752448,0.0,1265.057792,42528.342016
350473.332941,1265.057792,1259.752448,0.0,1265.057792,42528.325632
350576.433996,1265.057792,1259.752448,0.0,1265.057792,42528.309248
350675.277628,1265.057792,1259.752448,0.0,1265.057792,42528.292864
350778.951,1265.057792,1259.752448,0.0,1265.057792,42528.27648
350885.672958,1265.057792,1259.752448,0.0,1265.057792,42528.518144
350989.600212,1265.057792,1259.752448,0.0,1265.057792,42528.50176
351092.354819,1265.057792,1259.752448,0.0,1265.057792,42528.227328
351194.730197,1265.057792,1259.752448,0.0,1265.057792,42528.735232
351298.331161,1265.057792,1259.752448,0.0,1265.057792,42528.456704
351404.162194,1265.057792,1259.752448,0.0,1265.057792,42528.178176
351503.463489,1265.057792,1259.752448,0.0,1265.057792,42528.41984
351606.661333,1265.057792,1259.752448,0.0,1265.057792,42528.141312
351705.379868,1265.057792,1259.752448,0.0,1265.057792,42528.387072
351806.497827,1265.057792,1259.752448,0.0,1265.057792,42528.370688
351903.856973,1265.057792,1259.752448,0.0,1265.057792,42528.362496
352005.289298,1265.057792,1259.752448,0.0,1265.057792,42528.083968
352109.275347,1265.057792,1259.752448,0.0,1265.057792,42528.329728
352210.523255,1265.057792,1259.752448,0.0,1265.057792,42528.313344
352310.126643,1265.057792,1259.752448,0.0,1265.057792,42528.530432
352420.426256,1265.057792,1259.752448,0.0,1265.057792,42529.615872
352525.719604,1265.057792,1259.752448,0.0,1265.057792,42529.599488
352633.944409,1265.057792,1259.752448,0.0,1265.057792,42529.406976
352737.275933,1265.057792,1259.752448,0.0,1265.057792,42529.652736
352843.307162,1265.057792,1259.752448,0.0,1265.057792,42529.898496
352954.487615,1265.057792,1259.752448,0.0,1265.057792,42530.144256
353058.778332,1265.057792,1259.752448,0.0,1265.057792,42529.882112
353164.210033,1265.057792,1259.752448,0.0,1265.057792,42530.021376
353269.982381,1265.057792,1259.752448,0.0,1265.057792,42529.75104
353373.721343,1265.057792,1259.752448,0.0,1265.057792,42529.558528
353477.966166,1265.057792,1259.752448,0.0,1265.057792,42530.24256
353578.694347,1265.061888,1259.756544,0.0,1265.061888,42529.9968
353677.684785,1265.061888,1259.756544,0.0,1265.061888,42529.83296
353778.592183,1265.061888,1259.756544,0.0,1265.061888,42529.816576
353884.516746,1265.061888,1259.756544,0.0,1265.061888,42530.062336
353987.194284,1265.061888,1259.756544,0.0,1265.061888,42529.787904
354088.907167,1265.061888,1259.756544,0.0,1265.061888,42529.77152
354192.573598,1265.061888,1259.756544,0.0,1265.061888,42529.947648
354291.383891,1265.061888,1259.756544,0.0,1265.061888,42529.800192
354394.687702,1265.061888,1259.756544,0.0,1265.061888,42529.783808
